Time,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time (ms),Total Average Response Time (ms),Total Min Response Time (ms),Total Max Response Time (ms),Total Average Content Size,%CPU,%MEM,%Failure
18:26:10,44,,Aggregated,13.3,0.0,5.0,5.0,7.0,8.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,228,0,5.0,5.64219271064646,3.5185830056434497,18.84713699837448,16665.98245614035,2.1,0.1,0.0
18:26:11,46,,Aggregated,13.5,0.0,5.0,5.0,7.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,250,0,5.0,5.590574340109015,3.5185830056434497,18.84713699837448,17377.48,2.1,0.1,0.0
18:26:12,48,,Aggregated,14.4,0.0,5.0,5.0,7.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,275,0,5.0,5.604756036508744,3.5185830056434497,18.84713699837448,17521.13090909091,2.2,0.1,0.0
18:26:13,50,,Aggregated,15.9,0.0,5.0,5.0,7.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,296,0,5.0,5.602707074447952,3.5185830056434497,18.84713699837448,17755.14527027027,2.3,0.1,0.0
18:26:14,52,,Aggregated,16.8,0.0,5.0,5.0,7.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,312,0,5.0,5.597751522542146,3.5185830056434497,18.84713699837448,17896.50641025641,2.3,0.1,0.0
18:26:15,54,,Aggregated,17.8,0.0,5.0,5.0,7.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,337,0,5.0,5.640163285050988,3.5185830056434497,18.84713699837448,17976.0059347181,2.4,0.1,0.0
18:26:16,56,,Aggregated,18.6,0.0,5.0,5.0,6.0,7.0,9.0,11.0,14.0,15.0,19.0,19.0,19.0,361,0,5.0,5.610859803478117,3.382989001693204,18.84713699837448,17993.833795013852,2.5,0.1,0.0
18:26:17,58,,Aggregated,19.4,0.0,5.0,5.0,7.0,7.0,9.0,11.0,14.0,15.0,19.0,19.0,19.0,387,0,5.0,5.617321798639121,3.382989001693204,18.84713699837448,17916.77260981912,2.6,0.1,0.0
18:26:18,60,,Aggregated,20.1,0.0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,413,0,5.0,5.632191615230765,3.382989001693204,18.84713699837448,18023.11138014528,2.7,0.1,0.0
18:26:19,62,,Aggregated,21.1,0.0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,436,0,5.0,5.574642738692917,3.382989001693204,18.84713699837448,17747.116972477063,2.7,0.1,0.0
18:26:20,64,,Aggregated,21.6,0.0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,463,0,5.0,5.581324112411241,3.382989001693204,18.84713699837448,18123.75593952484,2.8,0.1,0.0
18:26:21,66,,Aggregated,23.0,0.0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,15.0,19.0,19.0,19.0,488,0,4.0,5.549556967320105,3.382989001693204,18.84713699837448,17576.84836065574,2.9,0.1,0.0
18:26:22,68,,Aggregated,23.1,0.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,16.0,19.0,19.0,19.0,517,0,4.0,5.563697650000373,3.382989001693204,18.84713699837448,17510.272727272728,3.0,0.1,0.0
18:26:23,70,,Aggregated,23.9,0.0,4.0,5.0,6.0,7.0,9.0,11.0,15.0,17.0,19.0,19.0,19.0,545,0,4.0,5.607594431291437,3.382989001693204,18.84713699837448,17416.23119266055,3.1,0.1,0.0
18:26:24,72,,Aggregated,23.6,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,28.0,28.0,28.0,572,0,4.0,5.69883468887275,3.382989001693204,28.058013995178044,17360.851398601397,3.2,0.1,0.0
18:26:25,74,,Aggregated,24.8,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,28.0,28.0,28.0,601,0,4.0,5.657236199684987,3.3241419951082207,28.058013995178044,17612.52911813644,3.2,0.1,0.0
18:26:26,76,,Aggregated,25.4,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,28.0,28.0,28.0,630,0,4.0,5.6624141666809065,3.3241419951082207,28.058013995178044,17612.231746031746,3.3,0.1,0.0
18:26:27,78,,Aggregated,26.3,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,28.0,28.0,28.0,660,0,4.0,5.60434460305921,3.3241419951082207,28.058013995178044,17532.533333333333,3.4,0.1,0.0
18:26:28,80,,Aggregated,27.2,0.0,4.0,5.0,6.0,7.0,9.0,12.0,17.0,19.0,28.0,28.0,28.0,692,0,4.0,5.701192028905387,3.3241419951082207,28.058013995178044,17564.728323699423,3.5,0.1,0.0
18:26:29,82,,Aggregated,26.8,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,28.0,28.0,28.0,720,0,4.0,5.662841333347994,3.3241419951082207,28.058013995178044,17591.268055555556,3.5,0.1,0.0
18:26:30,84,,Aggregated,28.0,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,19.0,28.0,28.0,28.0,752,0,4.0,5.720695151612357,3.3241419951082207,28.058013995178044,17379.28590425532,3.6,0.1,0.0
18:26:31,86,,Aggregated,28.4,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,19.0,28.0,28.0,28.0,786,0,4.0,5.677399361360141,3.3241419951082207,28.058013995178044,17462.469465648854,3.7,0.1,0.0
18:26:32,88,,Aggregated,29.0,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,28.0,28.0,28.0,824,0,4.0,5.714358557084885,3.3241419951082207,28.058013995178044,17410.45145631068,3.8,0.1,0.0
18:26:33,90,,Aggregated,28.6,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,28.0,28.0,28.0,862,0,4.0,5.6814000603472525,3.3241419951082207,28.058013995178044,17322.10672853828,3.9,0.1,0.0
18:26:34,92,,Aggregated,30.6,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,28.0,28.0,28.0,904,0,4.0,5.744771710231893,3.3241419951082207,28.058013995178044,17324.857300884956,4.0,0.1,0.0
18:26:35,94,,Aggregated,31.1,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,28.0,28.0,28.0,937,0,4.0,5.709916835721868,3.3241419951082207,28.058013995178044,17337.30096051227,4.1,0.1,0.0
18:26:36,96,,Aggregated,33.1,0.0,4.0,5.0,7.0,7.0,9.0,12.0,16.0,19.0,28.0,28.0,28.0,982,0,4.0,5.790637988860808,3.3241419951082207,28.058013995178044,17360.69450101833,4.2,0.1,0.0
18:26:37,98,,Aggregated,32.9,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,27.0,28.0,28.0,1022,0,4.0,5.727213131188501,3.3241419951082207,28.058013995178044,17430.858121330722,4.3,0.1,0.0
18:26:38,100,,Aggregated,34.8,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,27.0,28.0,28.0,1065,0,4.0,5.713655910884553,3.3241419951082207,28.058013995178044,17378.984037558686,4.4,0.1,0.0
18:26:39,102,,Aggregated,36.2,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,27.0,28.0,28.0,1112,0,4.0,5.683394050439026,3.3241419951082207,28.058013995178044,17528.091726618706,4.5,0.1,0.0
18:26:40,104,,Aggregated,37.5,0.0,4.0,5.0,6.0,7.0,9.0,12.0,16.0,18.0,27.0,28.0,28.0,1147,0,4.0,5.688927572849278,3.3241419951082207,28.058013995178044,17439.572798605055,4.6,0.1,0.0
18:26:41,106,,Aggregated,38.2,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1195,0,4.0,5.63509759586207,3.3241419951082207,28.058013995178044,17411.052719665273,4.7,0.1,0.0
18:26:42,108,,Aggregated,39.5,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1235,0,4.0,5.628422871325118,3.2494330007466488,28.058013995178044,17292.246153846154,4.7,0.1,0.0
18:26:43,110,,Aggregated,40.6,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1274,0,4.0,5.587091128003938,3.2018170022638515,28.058013995178044,17279.053375196232,4.8,0.1,0.0
